,ID,desc,cosine,euclidean
2227,DAV68573.1 ,MAG TPA: DNA POLYMERASE [Bacteriophage sp.],0.011522293090820312,1.0776702165603638
770,DAV39794.1 ,MAG TPA: DNA polymerase I [Bacteriophage sp.],0.017619669437408447,1.2671782970428467
2225,DAV68571.1 ,MAG TPA: DNA directed DNA polymerase [Bacteriophage sp.],0.027103006839752197,1.5843814611434937
2224,DAV68570.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.031088531017303467,1.6814916133880615
86,DAV29658.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.03209966421127319,1.7278056144714355
2057,DAV66262.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.02981555461883545,1.851941704750061
2299,DAV69390.1 ,MAG TPA: Putative exonuclease [Bacteriophage sp.],0.030048847198486328,1.8559823036193848
16,DAV29237.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.032776832580566406,1.864818811416626
1751,DAV58961.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.034650206565856934,1.8706064224243164
171,DAV33933.1 ,"MAG TPA: DNA polymerase B, partial [Bacteriophage sp.]",0.030797123908996582,1.8735240697860718
773,DAV39797.1 ,MAG TPA: PD-(D/E)XK nuclease superfamily protein [Bacteriophage sp.],0.03480309247970581,1.877955436706543
2229,DAV68575.1 ,MAG TPA: Exodeoxyribonuclease [Bacteriophage sp.],0.031193196773529053,1.8787872791290283
4465,DAV94278.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.036493003368377686,1.89106285572052
2293,DAV69384.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.033947110176086426,1.8912184238433838
4848,DAV99678.1 ,MAG TPA: N-6 DNA Methylase [Bacteriophage sp.],0.03894251585006714,1.9077965021133423
1073,DAV42916.1 ,MAG TPA: terminase large subunit [Bacteriophage sp.],0.04000931978225708,1.9120850563049316
407,DAV36214.1 ,MAG TPA: DNA repair protein-like protein [Bacteriophage sp.],0.03404802083969116,1.915452003479004
4190,DAV90149.1 ,MAG TPA: putative phosphohydrolase [Bacteriophage sp.],0.03724408149719238,1.9156053066253662
3578,DAV80515.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.040968120098114014,1.919741153717041
99,DAV29671.1 ,MAG TPA: integrase [Bacteriophage sp.],0.0348781943321228,1.9246771335601807
4437,DAV94250.1 ,MAG TPA: protein of unknown function DUF2075 [Bacteriophage sp.],0.037482619285583496,1.9247984886169434
3875,DAV83996.1 ,MAG TPA: DNA polymerase I [Bacteriophage sp.],0.038606226444244385,1.9292056560516357
2022,DAV65612.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.03891336917877197,1.934689998626709
76,DAV29648.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.03860616683959961,1.9395167827606201
4608,DAV97237.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.03940075635910034,1.9478929042816162
84,DAV29656.1 ,MAG TPA: portal [Bacteriophage sp.],0.036347806453704834,1.9534659385681152
