target,accession--target,query,accession--query,E-value,score,bias,E-value--best-domain,score--best-domain,bias--best-domain,exp,reg,clu,ov,env,dom,rep,inc,description
SAMEA2737831_b1_ct14_vs2_6,-,phage-family-interpro-v4,-,0,1014.4,0.1,0,1014.3,0.1,1.0,1,0,0,1,1,1,1,-
SAMN00792000_a1_ct10192_45,-,phage-family-interpro-v4,-,0,1013.1,0.1,0,1013.0,0.1,1.0,1,0,0,1,1,1,1,-
SAMEA3951737_b1_ct4_39,-,phage-family-interpro-v4,-,0,1013.0,0.1,0,1012.8,0.1,1.0,1,0,0,1,1,1,1,-
SAMN10080901_a1_ct384_38,-,phage-family-interpro-v4,-,0,1012.9,0.1,0,1012.8,0.1,1.0,1,0,0,1,1,1,1,-
SAMN10080877_a1_ct138_37,-,phage-family-interpro-v4,-,1.2e-301,1010.1,0.1,1.4e-301,1009.9,0.1,1.0,1,0,0,1,1,1,1,-
SAMEA2737813_a1_ct27648_12,-,phage-family-interpro-v4,-,3e-301,1008.8,0.1,3.4e-301,1008.6,0.1,1.0,1,0,0,1,1,1,1,-
SAMEA3951678_b1_ct5_16,-,phage-family-interpro-v4,-,1.2e-300,1006.8,0.1,1.3e-300,1006.7,0.1,1.0,1,0,0,1,1,1,1,-
SAMN10080902_a1_ct31163_vs1_25,-,phage-family-interpro-v4,-,4.5e-300,1004.9,0.0,5e-300,1004.7,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080912_a1_ct20335_vs1_46,-,phage-family-interpro-v4,-,2.5e-286,959.4,0.1,2.8e-286,959.2,0.1,1.0,1,0,0,1,1,1,1,-
SAMEA2737787_a1_ct23066_12,-,phage-family-interpro-v4,-,2.2e-257,863.6,0.0,2.6e-257,863.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMN03418260_a1_ct40487_20,-,phage-family-interpro-v4,-,1.5e-254,854.1,0.0,1.9e-254,853.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00792109_a1_ct16482_13,-,phage-family-interpro-v4,-,2.8e-254,853.3,0.0,3.4e-254,853.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080901_a1_ct415_5,-,phage-family-interpro-v4,-,4e-253,849.5,0.0,5e-253,849.2,0.0,1.0,1,0,0,1,1,1,1,-
SAMN03418267_a1_ct52266_vs1_24,-,phage-family-interpro-v4,-,6.8e-250,838.8,0.1,7.6e-250,838.6,0.1,1.0,1,0,0,1,1,1,1,-
SAMN10408130_a1_ct2517_vs1_45,-,phage-family-interpro-v4,-,2.9e-247,830.1,0.0,3.5e-247,829.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05827183_a1_ct4984_9,-,phage-family-interpro-v4,-,1.4e-241,811.2,0.1,1.7e-241,811.0,0.1,1.0,1,0,0,1,1,1,1,-
SAMN00993241_a1_ct33137_vs1_11,-,phage-family-interpro-v4,-,4.9e-239,802.8,0.4,5.7e-239,802.6,0.4,1.0,1,0,0,1,1,1,1,-
SAMN05826883_a1_ct3263_15,-,phage-family-interpro-v4,-,6.3e-237,795.9,0.0,7e-237,795.7,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA3951762_b1_ct5_31,-,phage-family-interpro-v4,-,2.1e-236,794.1,0.1,2.4e-236,793.9,0.1,1.0,1,0,0,1,1,1,1,-
SAMN05826811_a1_ct30918_vs1_6,-,phage-family-interpro-v4,-,2.4e-235,790.6,0.0,2.9e-235,790.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00792106_b1_ct73_vs02_1,-,phage-family-interpro-v4,-,3.1e-235,790.2,0.2,3.5e-235,790.1,0.2,1.0,1,0,0,1,1,1,1,-
SAMN09781746_a1_ct21885_23,-,phage-family-interpro-v4,-,5.1e-235,789.5,0.0,6.2e-235,789.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737821_a1_ct5107_1,-,phage-family-interpro-v4,-,1.8e-234,787.7,0.0,2.2e-234,787.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00691586_b1_ct8_29,-,phage-family-interpro-v4,-,2.1e-234,787.5,0.0,2.6e-234,787.2,0.0,1.0,1,0,0,1,1,1,1,-
SRS051031_a1_ct23890_vs1_6,-,phage-family-interpro-v4,-,2.4e-234,787.3,0.0,2.9e-234,787.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414970_a1_ct129416_vs1_5,-,phage-family-interpro-v4,-,6.6e-234,785.9,0.0,8e-234,785.6,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080929_a1_ct2022_10,-,phage-family-interpro-v4,-,7.4e-234,785.7,0.0,8.9e-234,785.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05826946_a1_ct4100_7,-,phage-family-interpro-v4,-,8.3e-234,785.5,0.0,1e-233,785.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN06164584_a1_ct46617_vs1_31,-,phage-family-interpro-v4,-,8.5e-234,785.5,0.0,1e-233,785.2,0.0,1.0,1,0,0,1,1,1,1,-
SRS021948_a1_ct36181_vs1_5,-,phage-family-interpro-v4,-,3.4e-228,767.0,8.3,3.8e-228,766.8,8.3,1.0,1,0,0,1,1,1,1,-
SAMEA2580142_a1_ct10957_4,-,phage-family-interpro-v4,-,3.5e-227,763.6,0.0,4.2e-227,763.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414975_a1_ct9769_20,-,phage-family-interpro-v4,-,1.1e-225,758.6,1.2,1.3e-225,758.4,1.2,1.0,1,0,0,1,1,1,1,-
SAMN00715140_b1_ct3_29,-,phage-family-interpro-v4,-,1.1e-225,758.6,0.0,1.3e-225,758.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2580196_a1_ct23161_38,-,phage-family-interpro-v4,-,2.7e-225,757.4,0.0,3.1e-225,757.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00715264_a1_ct14598_29,-,phage-family-interpro-v4,-,3.5e-225,757.0,0.0,3.9e-225,756.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMN09781715_a1_ct8180_24,-,phage-family-interpro-v4,-,5.2e-224,753.1,0.2,6.2e-224,752.9,0.2,1.0,1,0,0,1,1,1,1,-
SAMN01915207_a1_ct21160_39,-,phage-family-interpro-v4,-,1.2e-223,751.8,0.0,1.5e-223,751.6,0.0,1.0,1,0,0,1,1,1,1,-
SAMN09781736_a1_ct7113_4,-,phage-family-interpro-v4,-,1.5e-223,751.6,0.5,1.8e-223,751.3,0.5,1.0,1,0,0,1,1,1,1,-
SAMN10080900_a1_ct52370_vs1_10,-,phage-family-interpro-v4,-,1.6e-223,751.5,0.4,1.9e-223,751.3,0.4,1.0,1,0,0,1,1,1,1,-
SAMN10080893_a1_ct2805_vs1_47,-,phage-family-interpro-v4,-,2e-223,751.1,0.5,2.5e-223,750.9,0.5,1.0,1,0,0,1,1,1,1,-
SAMN09781741_a1_ct9516_20,-,phage-family-interpro-v4,-,3e-223,750.6,0.6,3.5e-223,750.4,0.6,1.0,1,0,0,1,1,1,1,-
SAMN09781776_a1_ct17623_24,-,phage-family-interpro-v4,-,4.4e-223,750.0,0.2,5.2e-223,749.8,0.2,1.0,1,0,0,1,1,1,1,-
SAMN09781697_a1_ct15977_vs1_22,-,phage-family-interpro-v4,-,8.7e-223,749.1,0.9,1.1e-222,748.8,0.9,1.0,1,0,0,1,1,1,1,-
SRS017248_a1_ct361_8,-,phage-family-interpro-v4,-,6.4e-222,746.2,0.1,7.7e-222,745.9,0.1,1.0,1,0,0,1,1,1,1,-
SRS013158_a1_ct4505_17,-,phage-family-interpro-v4,-,2.1e-221,744.5,0.4,2.5e-221,744.2,0.4,1.0,1,0,0,1,1,1,1,-
SAMEA2737788_a1_ct27058_52,-,phage-family-interpro-v4,-,7e-218,732.8,0.0,7.8e-218,732.7,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00791991_a1_ct19080_vs1_2,-,phage-family-interpro-v4,-,4.6e-215,723.5,0.0,5.5e-215,723.2,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00715211_b1_ct7_9,-,phage-family-interpro-v4,-,1.4e-211,712.0,0.0,1.7e-211,711.7,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414933_a1_ct182405_vs1_32,-,phage-family-interpro-v4,-,1.8e-210,708.3,0.0,2e-210,708.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00990286_a1_ct8424_21,-,phage-family-interpro-v4,-,2.2e-208,701.4,0.1,2.6e-208,701.1,0.1,1.0,1,0,0,1,1,1,1,-
SAMN03418283_a1_ct11742_vs1_23,-,phage-family-interpro-v4,-,6.1e-207,696.6,0.0,7.1e-207,696.4,0.0,1.0,1,0,0,1,1,1,1,-
SAMN11031371_a1_ct6140_29,-,phage-family-interpro-v4,-,1.5e-206,695.3,0.0,1.8e-206,695.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN11893695_a1_ct10291_19,-,phage-family-interpro-v4,-,1.2e-204,689.0,0.0,1.5e-204,688.7,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00792030_a1_ct14705_vs1_45,-,phage-family-interpro-v4,-,4.1e-204,687.2,1.4,4.5e-204,687.1,1.4,1.0,1,0,0,1,1,1,1,-
SAMEA2737728_b1_ct63_vs2_44,-,phage-family-interpro-v4,-,2e-203,684.9,0.2,2.4e-203,684.7,0.2,1.0,1,0,0,1,1,1,1,-
SAMEA2737815_a1_ct27979_22,-,phage-family-interpro-v4,-,2.2e-203,684.8,0.0,2.7e-203,684.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414913_a1_ct42124_42,-,phage-family-interpro-v4,-,5.1e-203,683.6,0.0,6.3e-203,683.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN06164731_a1_ct121835_vs1_22,-,phage-family-interpro-v4,-,8e-203,683.0,9.0,9.7e-203,682.7,9.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737757_a1_ct33184_vs1_7,-,phage-family-interpro-v4,-,1.3e-202,682.3,0.0,1.6e-202,682.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080898_a1_ct55871_vs1_22,-,phage-family-interpro-v4,-,1.6e-202,681.9,0.0,2e-202,681.6,0.0,1.0,1,0,0,1,1,1,1,-
SRS144000_a1_ct16781_vs1_38,-,phage-family-interpro-v4,-,1.8e-202,681.8,0.1,2.2e-202,681.5,0.1,1.0,1,0,0,1,1,1,1,-
SAMN00792095_a1_ct105332_vs1_43,-,phage-family-interpro-v4,-,2e-202,681.7,0.2,2.3e-202,681.4,0.2,1.0,1,0,0,1,1,1,1,-
SRS011084_a1_ct140720_vs1_13,-,phage-family-interpro-v4,-,4.4e-202,680.5,0.3,5.5e-202,680.2,0.3,1.0,1,0,0,1,1,1,1,-
SAMEA2737767_a1_ct23580_vs1_9,-,phage-family-interpro-v4,-,4.7e-202,680.4,0.6,5.7e-202,680.1,0.6,1.0,1,0,0,1,1,1,1,-
SAMN00792088_a1_ct20808_6,-,phage-family-interpro-v4,-,2e-201,678.3,0.0,2.5e-201,678.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080927_a1_ct12579_vs1_21,-,phage-family-interpro-v4,-,4e-201,677.3,0.0,4.9e-201,677.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00791954_a1_ct5591_40,-,phage-family-interpro-v4,-,4.4e-201,677.2,0.0,5.5e-201,676.9,0.0,1.0,1,0,0,1,1,1,1,-
SRS017139_a1_ct40986_vs1_33,-,phage-family-interpro-v4,-,5e-201,677.0,0.0,5.6e-201,676.9,0.0,1.0,1,0,0,1,1,1,1,-
SAMN09781742_a1_ct25274_45,-,phage-family-interpro-v4,-,1.8e-200,675.2,0.0,2.2e-200,674.9,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA3951762_b1_ct1_36,-,phage-family-interpro-v4,-,2.3e-200,674.8,0.0,2.8e-200,674.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737807_a1_ct21894_27,-,phage-family-interpro-v4,-,2.8e-200,674.5,0.0,3.5e-200,674.2,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2579914_a1_ct145921_vs1_3,-,phage-family-interpro-v4,-,1.7e-199,672.0,0.0,1.9e-199,671.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737736_a1_ct50827_vs1_4,-,phage-family-interpro-v4,-,4.7e-199,670.5,0.0,5.8e-199,670.2,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737817_a1_ct18614_10,-,phage-family-interpro-v4,-,3.5e-198,667.6,0.0,4.3e-198,667.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN11893768_a1_ct5637_7,-,phage-family-interpro-v4,-,7e-198,666.6,1.0,8.6e-198,666.3,1.0,1.0,1,0,0,1,1,1,1,-
SAMN11252289_a1_ct19458_vs1_13,-,phage-family-interpro-v4,-,8.7e-198,666.3,2.7,1.1e-197,666.0,2.7,1.0,1,0,0,1,1,1,1,-
SAMN00791981_a1_ct21530_vs1_13,-,phage-family-interpro-v4,-,5.1e-197,663.8,0.1,6.1e-197,663.5,0.1,1.0,1,0,0,1,1,1,1,-
SAMN09781784_a1_ct238708_vs1_56,-,phage-family-interpro-v4,-,8.6e-197,663.0,3.2,9.7e-197,662.8,3.2,1.0,1,0,0,1,1,1,1,-
