Entry	Entry Name	Gene Names	Length	EC number	Gene Ontology IDs
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	31		GO:0005886; GO:0010350
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	66		GO:0000166; GO:0009228; GO:0009229; GO:0052837; GO:0097163; GO:1902503; GO:1990228
P00350	6PGD_ECOLI	gnd b2029 JW2011	468	1.1.1.44	GO:0004616; GO:0005829; GO:0006098; GO:0009051; GO:0042802; GO:0042803; GO:0046177; GO:0050661; GO:0097216
P00363	FRDA_ECOLI	frdA b4154 JW4115	602	1.3.5.1	GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0009055; GO:0009061; GO:0016020; GO:0019645; GO:0044780; GO:0045284; GO:0050660; GO:0071949; GO:0102040
P00370	DHE4_ECOLI	gdhA b1761 JW1750	447	1.4.1.4	GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0042802; GO:0097216; GO:1990148
P00393	NDH_ECOLI	ndh b1109 JW1095	434	1.16.1.-; 1.6.5.9	GO:0005886; GO:0008137; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050660; GO:0055070
P00448	SODM_ECOLI	sodA b3908 JW3879	206	1.15.1.1	GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0042803; GO:0046872; GO:0071291
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	761	1.17.4.1	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0006260; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802; GO:0044183
P00490	PHSM_ECOLI	malP b3417 JW5689	797	2.4.1.1	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0042803; GO:0102250; GO:0102499
P00509	AAT_ECOLI	aspC b0928 JW0911	396	2.6.1.1	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0009094; GO:0030170; GO:0033585; GO:0042802; GO:0042803
P00550	PTM3C_ECOLI	mtlA b3599 JW3573	637	2.7.1.197	GO:0005886; GO:0009401; GO:0015797; GO:0016301; GO:0016310; GO:0022872; GO:0090563; GO:0090565
P00561	AK1H_ECOLI	thrA thrA1 thrA2 b0002 JW0001	820	1.1.1.3; 2.7.2.4	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0042802; GO:0050661; GO:0051289
P00562	AK2H_ECOLI	metL metM b3940 JW3911	810	1.1.1.3; 2.7.2.4	GO:0004072; GO:0004412; GO:0005524; GO:0005829; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0050661
P00579	RPOD_ECOLI	rpoD alt b3067 JW3039	613		GO:0000345; GO:0003677; GO:0005829; GO:0006352; GO:0009408; GO:0016987; GO:0045892; GO:1903865; GO:2000142
P00582	DPO1_ECOLI	polA resA b3863 JW3835	928	2.7.7.7	GO:0003677; GO:0003887; GO:0005737; GO:0005829; GO:0006260; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0008408; GO:0008409
P00634	PPB_ECOLI	phoA b0383 JW0374	471	3.1.3.1	GO:0000287; GO:0004035; GO:0004721; GO:0006470; GO:0008270; GO:0016311; GO:0030288; GO:0030613; GO:0033748; GO:0042597
P00722	BGAL_ECOLI	lacZ b0344 JW0335	1024	3.2.1.23	GO:0000287; GO:0004565; GO:0005990; GO:0009341; GO:0030246; GO:0031420; GO:0042802
P00803	LEP_ECOLI	lepB b2568 JW2552	324	3.4.21.89	GO:0004175; GO:0004252; GO:0005886; GO:0006465; GO:0006508; GO:0008233; GO:0016485
P00804	LSPA_ECOLI	lspA lsp b0027 JW0025	164	3.4.23.36	GO:0004175; GO:0004190; GO:0005886; GO:0006508; GO:0097304
P00805	ASPG2_ECOLI	ansB b2957 JW2924	348	3.5.1.1	GO:0004067; GO:0006530; GO:0030288; GO:0032991; GO:0042597; GO:0042802; GO:0051289
P00811	AMPC_ECOLI	ampC ampA b4150 JW4111	377	3.5.2.6	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P00861	DCDA_ECOLI	lysA b2838 JW2806	420	4.1.1.20	GO:0008836; GO:0009089; GO:0030170; GO:0042803
P00864	CAPP_ECOLI	ppc glu b3956 JW3928	883	4.1.1.31	GO:0000287; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0008964; GO:0015977; GO:0042802; GO:0051289
P00893	ILVI_ECOLI	ilvI b0077 JW0076	574	2.2.1.6	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660
P00894	ILVH_ECOLI	ilvH brnP b0078 JW0077	163	2.2.1.6	GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:1990610
P00903	PABA_ECOLI	pabA b3360 JW3323	187	2.6.1.85	GO:0000162; GO:0006541; GO:0008153; GO:0009356; GO:0046654; GO:0046656; GO:0046820; GO:0046982
P00904	TRPGD_ECOLI	trpGD trpD b1263 JW1255	531	2.4.2.18; 4.1.3.27	GO:0000162; GO:0000287; GO:0002047; GO:0004048; GO:0004049; GO:0005950; GO:0006541
P00914	PHR_ECOLI	phrB phr b0708 JW0698	472	4.1.99.3	GO:0000719; GO:0003677; GO:0003684; GO:0003904; GO:0007603; GO:0009416; GO:0071949
P00926	SDHD_ECOLI	dsdA b2366 JW2363	442	4.3.1.18	GO:0005737; GO:0005829; GO:0006974; GO:0008721; GO:0009097; GO:0016836; GO:0030170; GO:0036088; GO:0051410; GO:0070178
P00935	METB_ECOLI	metB b3939 JW3910	386	2.5.1.48	GO:0003962; GO:0004123; GO:0005737; GO:0009086; GO:0019343; GO:0019346; GO:0030170; GO:0102028
P00936	CYAA_ECOLI	cyaA cya b3806 JW3778	848	4.6.1.1	GO:0004016; GO:0005524; GO:0005737; GO:0006171
P00946	MANA_ECOLI	manA pmi b1613 JW1605	391	5.3.1.8	GO:0004476; GO:0005829; GO:0008270; GO:0009242; GO:0009298; GO:0019309
P00956	SYI_ECOLI	ileS ilvS b0026 JW0024	938	6.1.1.5	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270; GO:0046677
P00957	SYA_ECOLI	alaS lovB b2697 JW2667	876	6.1.1.7	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006419; GO:0008270; GO:0016020; GO:0042802; GO:0042803; GO:0045892
P00959	SYM_ECOLI	metG b2114 JW2101	677	6.1.1.10	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0008270; GO:0016020; GO:0042803
P00962	SYQ_ECOLI	glnS b0680 JW0666	554	6.1.1.18	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425
P00963	ASNA_ECOLI	asnA b3744 JW3722	330	6.3.1.1	GO:0004071; GO:0005524; GO:0005829; GO:0006529; GO:0006974; GO:0042802; GO:0042803; GO:0070981
P00968	CARB_ECOLI	carB pyrA b0033 JW0031	1073	6.3.5.5	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872
P02358	RS6_ECOLI	rpsF b4200 JW4158	135		GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022627; GO:0048027; GO:0070181
P02359	RS7_ECOLI	rpsG b3341 JW3303	179		GO:0000028; GO:0000049; GO:0002181; GO:0003729; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627
P02916	MALF_ECOLI	malF b4033 JW3993	514		GO:0005886; GO:0006974; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154
P02918	PBPA_ECOLI	mrcA ponA b3396 JW3359	850	2.4.1.129; 3.4.16.4	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0046677; GO:0071555
P02919	PBPB_ECOLI	mrcB pbpF ponB b0149 JW0145	844	2.4.1.129; 3.4.16.4	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0009274; GO:0016020; GO:0030288; GO:0046677; GO:0051518; GO:0071433
P02920	LACY_ECOLI	lacY b0343 JW0334	417		GO:0005351; GO:0005886; GO:0008643; GO:0015528; GO:0015767; GO:0016020; GO:0030395; GO:0071702
