,ID,desc,cosine
2227,DAV68573.1 ,MAG TPA: DNA POLYMERASE [Bacteriophage sp.],0.011522293090820312
770,DAV39794.1 ,MAG TPA: DNA polymerase I [Bacteriophage sp.],0.017619669437408447
2225,DAV68571.1 ,MAG TPA: DNA directed DNA polymerase [Bacteriophage sp.],0.027103006839752197
2232,DAV68578.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],0.027665436267852783
3016,DAV73824.1 ,MAG TPA: DNA polymerase [Bacteriophage sp.],0.029393434524536133
2057,DAV66262.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.02981555461883545
2299,DAV69390.1 ,MAG TPA: Putative exonuclease [Bacteriophage sp.],0.030048847198486328
171,DAV33933.1 ,"MAG TPA: DNA polymerase B, partial [Bacteriophage sp.]",0.030797123908996582
2224,DAV68570.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.031088531017303467
2229,DAV68575.1 ,MAG TPA: Exodeoxyribonuclease [Bacteriophage sp.],0.031193196773529053
4021,DAV85260.1 ,MAG TPA: large terminase protein [Bacteriophage sp.],0.03198087215423584
86,DAV29658.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.03209966421127319
16,DAV29237.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.032776832580566406
3714,DAV82264.1 ,MAG TPA: DNA polymerase B [Bacteriophage sp.],0.03279602527618408
4517,DAV95016.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03310900926589966
1383,DAV51157.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03341031074523926
3512,DAV79619.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.033465564250946045
4917,DAW00716.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03356856107711792
2293,DAV69384.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.033947110176086426
1741,DAV58951.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03398394584655762
407,DAV36214.1 ,MAG TPA: DNA repair protein-like protein [Bacteriophage sp.],0.03404802083969116
2013,DAV65603.1 ,MAG TPA: antirepressor [Bacteriophage sp.],0.034301042556762695
1751,DAV58961.1 ,MAG TPA: adenine specific DNA methyltransferase [Bacteriophage sp.],0.034650206565856934
773,DAV39797.1 ,MAG TPA: PD-(D/E)XK nuclease superfamily protein [Bacteriophage sp.],0.03480309247970581
99,DAV29671.1 ,MAG TPA: integrase [Bacteriophage sp.],0.0348781943321228
1749,DAV58959.1 ,MAG TPA: phosphoadenosine-phosphosulfate reductase [Bacteriophage sp.],0.035323381423950195
612,DAV37758.1 ,MAG TPA: DNA polymerase II small subunit [Bacteriophage sp.],0.03534960746765137
3027,DAV73835.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.035354018211364746
1552,DAV56338.1 ,MAG TPA: DNA polymerase III PolC [Bacteriophage sp.],0.03559798002243042
876,DAV41696.1 ,MAG TPA: DNA POLYMERASE [Bacteriophage sp.],0.03592616319656372
2545,DAV73291.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.03602653741836548
196,DAV35345.1 ,MAG TPA: DEDDh [Bacteriophage sp.],0.03621828556060791
84,DAV29656.1 ,MAG TPA: portal [Bacteriophage sp.],0.036347806453704834
1198,DAV45802.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03645777702331543
4465,DAV94278.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.036493003368377686
3414,DAV77894.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03653687238693237
2411,DAV71144.1 ,MAG TPA: DNA topoisomerase 2 alpha [Bacteriophage sp.],0.036573588848114014
2409,DAV71142.1 ,MAG TPA: DNA topoisomerase 2 alpha [Bacteriophage sp.],0.03657364845275879
1410,DAV51184.1 ,MAG TPA: exonuclease [Bacteriophage sp.],0.03660315275192261
2353,DAV69444.1 ,MAG TPA: nucleotidase 5'-nucleotidase [Bacteriophage sp.],0.03676086664199829
4466,DAV94279.1 ,MAG TPA: DNA adenine methylase [Bacteriophage sp.],0.036784470081329346
2311,DAV69402.1 ,MAG TPA: 3'-5' exoribonuclease [Bacteriophage sp.],0.03697782754898071
1877,DAV64146.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.03704392910003662
1892,DAV64161.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.03707832098007202
546,DAV37692.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.03710848093032837
4190,DAV90149.1 ,MAG TPA: putative phosphohydrolase [Bacteriophage sp.],0.03724408149719238
4437,DAV94250.1 ,MAG TPA: protein of unknown function DUF2075 [Bacteriophage sp.],0.037482619285583496
126,DAV33596.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03757274150848389
3756,DAV83361.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03765171766281128
2066,DAV66271.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.03766351938247681
4675,DAV98694.1 ,"MAG TPA: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent [Bacteriophage sp.]",0.037690043449401855
4289,DAV92245.1 ,MAG TPA: Methyltransferase domain [Bacteriophage sp.],0.03782743215560913
856,DAV41676.1 ,MAG TPA: RNA ligase [Bacteriophage sp.],0.037857651710510254
179,DAV34922.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.037926554679870605
1763,DAV58973.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.03795123100280762
2530,DAV73276.1 ,MAG TPA: replicative helicase [Bacteriophage sp.],0.038271427154541016
1569,DAV56355.1 ,MAG TPA: DnaB-like replicative helicase [Bacteriophage sp.],0.03831028938293457
4391,DAV92993.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.038433730602264404
11,DAV29232.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.0384555459022522
542,DAV37688.1 ,MAG TPA: antirepressor protein [Bacteriophage sp.],0.03846818208694458
76,DAV29648.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.03860616683959961
3875,DAV83996.1 ,MAG TPA: DNA polymerase I [Bacteriophage sp.],0.038606226444244385
1947,DAV64216.1 ,MAG TPA: deoxyribosyltransferase [Bacteriophage sp.],0.03861302137374878
2022,DAV65612.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.03891336917877197
2512,DAV73258.1 ,MAG TPA: tRNAHis guanylyltransferase [Bacteriophage sp.],0.03892272710800171
4848,DAV99678.1 ,MAG TPA: N-6 DNA Methylase [Bacteriophage sp.],0.03894251585006714
4022,DAV85261.1 ,MAG TPA: terminase small subunit [Bacteriophage sp.],0.038974106311798096
49,DAV29270.1 ,MAG TPA: DNA repair protein-like protein [Bacteriophage sp.],0.039065659046173096
1080,DAV42923.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.039149701595306396
4863,DAV99693.1 ,MAG TPA: Chromatin remodeling complex ATPase [Bacteriophage sp.],0.03922659158706665
3026,DAV73834.1 ,MAG TPA: DNA primase [Bacteriophage sp.],0.03932487964630127
4608,DAV97237.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.03940075635910034
4930,DAW00729.1 ,MAG TPA: DNA cytosine methyltransferase [Bacteriophage sp.],0.03949171304702759
484,DAV36613.1 ,MAG TPA: 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Bacteriophage sp.],0.039498865604400635
1549,DAV56335.1 ,MAG TPA: DNA primase (bacterial type) [Bacteriophage sp.],0.03963875770568848
793,DAV39817.1 ,MAG TPA: putative terminase small subunit [Bacteriophage sp.],0.039674460887908936
1384,DAV51158.1 ,MAG TPA: HOLLIDAY JUNCTION RESOLVASE HOMOLOGOUS RECOMBINATION [Bacteriophage sp.],0.03971678018569946
2051,DAV66256.1 ,MAG TPA: Methyltransferase domain [Bacteriophage sp.],0.039730072021484375
1409,DAV51183.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.03979599475860596
2052,DAV66257.1 ,MAG TPA: metallophosphatase domain protein [Bacteriophage sp.],0.039842188358306885
539,DAV37685.1 ,MAG TPA: PhoH-like protein [Bacteriophage sp.],0.03995966911315918
1073,DAV42916.1 ,MAG TPA: terminase large subunit [Bacteriophage sp.],0.04000931978225708
1158,DAV45222.1 ,"MAG TPA: Integrase, partial [Bacteriophage sp.]",0.04001826047897339
