target,accession--target,query,accession--query,E-value,score,bias,E-value--best-domain,score--best-domain,bias--best-domain,exp,reg,clu,ov,env,dom,rep,inc,description
TemPhD_cluster_61510_16,-,phage-family-interpro-v4,-,0,1019.9,0.0,0,1019.8,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_60546_40,-,phage-family-interpro-v4,-,2.9e-256,860.7,0.3,3.3e-256,860.5,0.3,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_50246_5,-,phage-family-interpro-v4,-,9.8e-255,855.6,0.0,1.2e-254,855.3,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_41173_34,-,phage-family-interpro-v4,-,2.6e-254,854.2,0.2,2.9e-254,854.1,0.2,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_42970_10,-,phage-family-interpro-v4,-,5.1e-254,853.3,0.0,5.9e-254,853.0,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_42390_7,-,phage-family-interpro-v4,-,6.4e-254,852.9,0.0,7.9e-254,852.6,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_35613_23,-,phage-family-interpro-v4,-,1.3e-253,851.9,0.2,1.5e-253,851.8,0.2,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_22668_30,-,phage-family-interpro-v4,-,4.8e-250,840.1,0.0,5.3e-250,840.0,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_12421_18,-,phage-family-interpro-v4,-,1.1e-249,838.9,0.0,1.3e-249,838.7,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_35762_27,-,phage-family-interpro-v4,-,9.8e-240,806.0,0.0,1.1e-239,805.8,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_35763_8,-,phage-family-interpro-v4,-,9.8e-240,806.0,0.0,1.1e-239,805.8,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_35764_43,-,phage-family-interpro-v4,-,9.8e-240,806.0,0.0,1.1e-239,805.8,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_14305_53,-,phage-family-interpro-v4,-,3.7e-234,787.5,0.0,4.6e-234,787.2,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_25523_18,-,phage-family-interpro-v4,-,7.3e-234,786.6,0.0,8.6e-234,786.3,0.0,1.0,1,0,0,1,1,1,1,-
TemPhD_cluster_41473_18,-,phage-family-interpro-v4,-,7.3e-234,786.6,0.0,8.6e-234,786.3,0.0,1.0,1,0,0,1,1,1,1,-
