#                                                                    --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name         accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
# ------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
MGV-GENOME-0264970_6  -          phage-family-interpro-v4 -                  0 1026.2   0.0         0 1026.1   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0265351_44 -          phage-family-interpro-v4 -                  0 1016.2   0.0         0 1016.0   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0262495_27 -          phage-family-interpro-v4 -                  0 1015.3   0.0         0 1015.1   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0265429_33 -          phage-family-interpro-v4 -                  0 1014.5   0.1         0 1014.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272298_14 -          phage-family-interpro-v4 -                  0 1014.4   0.1         0 1014.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272299_27 -          phage-family-interpro-v4 -                  0 1014.4   0.1         0 1014.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272538_20 -          phage-family-interpro-v4 -                  0 1014.4   0.1         0 1014.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272541_20 -          phage-family-interpro-v4 -                  0 1014.4   0.1         0 1014.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0275239_19 -          phage-family-interpro-v4 -                  0 1013.4   0.1         0 1013.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272220_10 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0149923_17 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0269628_27 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0270216_14 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272747_29 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0276411_35 -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0207384_3  -          phage-family-interpro-v4 -                  0 1013.3   0.1         0 1013.1   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0270230_2  -          phage-family-interpro-v4 -                  0 1013.2   0.1         0 1013.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0274788_19 -          phage-family-interpro-v4 -                  0 1013.1   0.1         0 1013.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0189393_19 -          phage-family-interpro-v4 -                  0 1013.1   0.1         0 1013.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272520_29 -          phage-family-interpro-v4 -                  0 1013.1   0.2         0 1013.0   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0270332_12 -          phage-family-interpro-v4 -                  0 1013.0   0.1         0 1012.8   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271102_23 -          phage-family-interpro-v4 -                  0 1013.0   0.2         0 1012.8   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0266215_21 -          phage-family-interpro-v4 -                  0 1012.5   0.1         0 1012.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0274160_25 -          phage-family-interpro-v4 -                  0 1012.3   0.1         0 1012.1   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272248_24 -          phage-family-interpro-v4 -                  0 1011.7   0.2  2.4e-301 1011.5   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0268525_32 -          phage-family-interpro-v4 -                  0 1011.6   0.1  2.5e-301 1011.5   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0263483_9  -          phage-family-interpro-v4 -           2.4e-301 1011.6   0.0  2.6e-301 1011.4   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272093_29 -          phage-family-interpro-v4 -           3.1e-301 1011.1   0.1  3.5e-301 1011.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272845_10 -          phage-family-interpro-v4 -           3.1e-301 1011.1   0.1  3.5e-301 1011.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0275033_23 -          phage-family-interpro-v4 -           3.4e-301 1011.0   0.1  3.8e-301 1010.9   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271769_19 -          phage-family-interpro-v4 -           3.4e-301 1011.0   0.1  3.8e-301 1010.9   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0274303_33 -          phage-family-interpro-v4 -           3.5e-301 1011.0   0.1  3.9e-301 1010.8   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271896_31 -          phage-family-interpro-v4 -           3.7e-301 1010.9   0.2  4.1e-301 1010.8   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0276608_19 -          phage-family-interpro-v4 -           4.8e-301 1010.5   0.1  5.3e-301 1010.4   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272856_18 -          phage-family-interpro-v4 -           6.8e-301 1010.0   0.2  7.6e-301 1009.9   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0273329_30 -          phage-family-interpro-v4 -           7.6e-301 1009.9   0.0  8.5e-301 1009.7   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271735_19 -          phage-family-interpro-v4 -             1e-300 1009.5   0.1  1.1e-300 1009.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0273145_19 -          phage-family-interpro-v4 -           1.6e-300 1008.8   0.1  1.8e-300 1008.6   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271146_22 -          phage-family-interpro-v4 -           1.8e-300 1008.6   0.1    2e-300 1008.5   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0270879_26 -          phage-family-interpro-v4 -           1.8e-300 1008.6   0.1    2e-300 1008.5   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271873_18 -          phage-family-interpro-v4 -           2.2e-300 1008.4   0.1  2.4e-300 1008.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272006_16 -          phage-family-interpro-v4 -           2.2e-300 1008.4   0.1  2.4e-300 1008.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0199759_9  -          phage-family-interpro-v4 -           2.3e-300 1008.3   0.1  2.8e-300 1008.0   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0272651_28 -          phage-family-interpro-v4 -           4.2e-300 1007.4   0.1  4.7e-300 1007.3   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0270994_30 -          phage-family-interpro-v4 -           4.2e-300 1007.4   0.1  4.7e-300 1007.2   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0271781_22 -          phage-family-interpro-v4 -           6.4e-300 1006.8   0.1  7.1e-300 1006.7   0.1   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0264844_12 -          phage-family-interpro-v4 -           1.2e-299 1005.9   0.2  1.3e-299 1005.7   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0260382_18 -          phage-family-interpro-v4 -           1.9e-266  896.0   0.2  2.1e-266  895.9   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0260459_4  -          phage-family-interpro-v4 -           1.9e-266  896.0   0.2  2.1e-266  895.9   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-4414981_29 -          phage-family-interpro-v4 -           1.9e-266  896.0   0.2  2.1e-266  895.9   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0260368_17 -          phage-family-interpro-v4 -             3e-266  895.3   0.3  3.3e-266  895.2   0.3   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0260377_19 -          phage-family-interpro-v4 -             6e-266  894.3   0.2  6.7e-266  894.2   0.2   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0268195_13 -          phage-family-interpro-v4 -           1.2e-256  863.6   0.0  1.4e-256  863.4   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0269006_29 -          phage-family-interpro-v4 -           3.2e-255  858.9   0.0  3.9e-255  858.5   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0264275_34 -          phage-family-interpro-v4 -           6.7e-255  857.8   0.0  8.2e-255  857.5   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0264710_4  -          phage-family-interpro-v4 -           6.7e-255  857.8   0.0  8.2e-255  857.5   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0268257_24 -          phage-family-interpro-v4 -           9.2e-255  857.3   0.0  1.1e-254  857.0   0.0   1.0   1   0   0   1   1   1   1 -
MGV-GENOME-0268676_3  -          phage-family-interpro-v4 -           3.3e-254  855.5   0.0    4e-254  855.2   0.0   1.0   1   0   0   1   1   1   1 -
