,ID,desc,DBSCAN
904,DAV41724.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0
56165,DAU28673.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0
56164,DAU28672.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0
43293,DAS41424.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0
46346,DAS88325.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0
86533,DAQ55759.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
61626,DAV13093.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
56906,DAU40213.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
53811,DAU00584.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
93598,DAR49152.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
50820,DAT57085.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
44316,DAS56917.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
42476,DAS26681.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
41587,DAS16856.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
26767,DAX09289.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
23636,DAX04408.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
14823,DAW89507.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
2232,DAV68578.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],1
109980,DAE29628.1 ,MAG TPA: DNA directed RNA polymerase [virus sp. ctqq75],1
43412,DAS41543.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],2
64932,DAN56381.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],2
79990,DAP29703.1 ,MAG TPA: 5'-3' exonuclease [Bacteriophage sp.],3
46270,DAS88249.1 ,MAG TPA: 5'-3' exonuclease [Bacteriophage sp.],3
51061,DAT60788.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],4
64933,DAN56382.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],4
