# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/CHVD.fasta
# output directed to file:         output/CHVD_hmmout.txt
# per-seq hits tabular output:     output/CHVD_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                        Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                        -----------
          0 1014.4   0.1          0 1014.3   0.1    1.0  1  SAMEA2737831_b1_ct14_vs2_6       
          0 1013.1   0.1          0 1013.0   0.1    1.0  1  SAMN00792000_a1_ct10192_45       
          0 1013.0   0.1          0 1012.8   0.1    1.0  1  SAMEA3951737_b1_ct4_39           
          0 1012.9   0.1          0 1012.8   0.1    1.0  1  SAMN10080901_a1_ct384_38         
   1.2e-301 1010.1   0.1   1.4e-301 1009.9   0.1    1.0  1  SAMN10080877_a1_ct138_37         
     3e-301 1008.8   0.1   3.4e-301 1008.6   0.1    1.0  1  SAMEA2737813_a1_ct27648_12       
   1.2e-300 1006.8   0.1   1.3e-300 1006.7   0.1    1.0  1  SAMEA3951678_b1_ct5_16           
   4.5e-300 1004.9   0.0     5e-300 1004.7   0.0    1.0  1  SAMN10080902_a1_ct31163_vs1_25   
   2.5e-286  959.4   0.1   2.8e-286  959.2   0.1    1.0  1  SAMN10080912_a1_ct20335_vs1_46   
   2.2e-257  863.6   0.0   2.6e-257  863.4   0.0    1.0  1  SAMEA2737787_a1_ct23066_12       
   1.5e-254  854.1   0.0   1.9e-254  853.8   0.0    1.0  1  SAMN03418260_a1_ct40487_20       
   2.8e-254  853.3   0.0   3.4e-254  853.0   0.0    1.0  1  SAMN00792109_a1_ct16482_13       
     4e-253  849.5   0.0     5e-253  849.2   0.0    1.0  1  SAMN10080901_a1_ct415_5          
   6.8e-250  838.8   0.1   7.6e-250  838.6   0.1    1.0  1  SAMN03418267_a1_ct52266_vs1_24   
   2.9e-247  830.1   0.0   3.5e-247  829.8   0.0    1.0  1  SAMN10408130_a1_ct2517_vs1_45    
   1.4e-241  811.2   0.1   1.7e-241  811.0   0.1    1.0  1  SAMN05827183_a1_ct4984_9         
   4.9e-239  802.8   0.4   5.7e-239  802.6   0.4    1.0  1  SAMN00993241_a1_ct33137_vs1_11   
   6.3e-237  795.9   0.0     7e-237  795.7   0.0    1.0  1  SAMN05826883_a1_ct3263_15        
   2.1e-236  794.1   0.1   2.4e-236  793.9   0.1    1.0  1  SAMEA3951762_b1_ct5_31           
   2.4e-235  790.6   0.0   2.9e-235  790.4   0.0    1.0  1  SAMN05826811_a1_ct30918_vs1_6    
   3.1e-235  790.2   0.2   3.5e-235  790.1   0.2    1.0  1  SAMN00792106_b1_ct73_vs02_1      
   5.1e-235  789.5   0.0   6.2e-235  789.3   0.0    1.0  1  SAMN09781746_a1_ct21885_23       
   1.8e-234  787.7   0.0   2.2e-234  787.4   0.0    1.0  1  SAMEA2737821_a1_ct5107_1         
   2.1e-234  787.5   0.0   2.6e-234  787.2   0.0    1.0  1  SAMN00691586_b1_ct8_29           
   2.4e-234  787.3   0.0   2.9e-234  787.0   0.0    1.0  1  SRS051031_a1_ct23890_vs1_6       
   6.6e-234  785.9   0.0     8e-234  785.6   0.0    1.0  1  SAMN05414970_a1_ct129416_vs1_5   
   7.4e-234  785.7   0.0   8.9e-234  785.4   0.0    1.0  1  SAMN10080929_a1_ct2022_10        
   8.3e-234  785.5   0.0     1e-233  785.3   0.0    1.0  1  SAMN05826946_a1_ct4100_7         
   8.5e-234  785.5   0.0     1e-233  785.2   0.0    1.0  1  SAMN06164584_a1_ct46617_vs1_31   
   3.4e-228  767.0   8.3   3.8e-228  766.8   8.3    1.0  1  SRS021948_a1_ct36181_vs1_5       
   3.5e-227  763.6   0.0   4.2e-227  763.3   0.0    1.0  1  SAMEA2580142_a1_ct10957_4        
   1.1e-225  758.6   1.2   1.3e-225  758.4   1.2    1.0  1  SAMN05414975_a1_ct9769_20        
   1.1e-225  758.6   0.0   1.3e-225  758.4   0.0    1.0  1  SAMN00715140_b1_ct3_29           
   2.7e-225  757.4   0.0   3.1e-225  757.1   0.0    1.0  1  SAMEA2580196_a1_ct23161_38       
   3.5e-225  757.0   0.0   3.9e-225  756.8   0.0    1.0  1  SAMN00715264_a1_ct14598_29       
   5.2e-224  753.1   0.2   6.2e-224  752.9   0.2    1.0  1  SAMN09781715_a1_ct8180_24        
   1.2e-223  751.8   0.0   1.5e-223  751.6   0.0    1.0  1  SAMN01915207_a1_ct21160_39       
   1.5e-223  751.6   0.5   1.8e-223  751.3   0.5    1.0  1  SAMN09781736_a1_ct7113_4         
   1.6e-223  751.5   0.4   1.9e-223  751.3   0.4    1.0  1  SAMN10080900_a1_ct52370_vs1_10   
     2e-223  751.1   0.5   2.5e-223  750.9   0.5    1.0  1  SAMN10080893_a1_ct2805_vs1_47    
     3e-223  750.6   0.6   3.5e-223  750.4   0.6    1.0  1  SAMN09781741_a1_ct9516_20        
   4.4e-223  750.0   0.2   5.2e-223  749.8   0.2    1.0  1  SAMN09781776_a1_ct17623_24       
