# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/GPD.fasta
# output directed to file:         output/GPD_hmmout.txt
# per-seq hits tabular output:     output/GPD_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence        Description
    ------- ------ -----    ------- ------ -----   ---- --  --------        -----------
          0 1026.4   0.0          0 1026.2   0.0    1.0  1  uvig_257535_40   
          0 1026.2   0.0          0 1026.1   0.0    1.0  1  uvig_298788_12   
          0 1024.6   0.0          0 1024.4   0.0    1.0  1  uvig_249054_4    
          0 1015.3   0.0          0 1015.1   0.0    1.0  1  uvig_481475_32   
          0 1014.4   0.1          0 1014.3   0.1    1.0  1  uvig_124832_36   
          0 1014.4   0.0          0 1014.3   0.0    1.0  1  uvig_557579_36   
          0 1014.4   0.0          0 1014.3   0.0    1.0  1  uvig_557931_8    
          0 1013.4   0.1          0 1013.3   0.1    1.0  1  uvig_325023_6    
          0 1013.3   0.1          0 1013.2   0.1    1.0  1  uvig_291032_11   
          0 1013.3   0.3          0 1013.2   0.3    1.0  1  uvig_380514_39   
          0 1013.3   0.3          0 1013.2   0.3    1.0  1  uvig_381804_5    
          0 1013.3   0.1          0 1013.2   0.1    1.0  1  uvig_218562_22   
          0 1013.3   0.1          0 1013.2   0.1    1.0  1  uvig_235818_50   
          0 1013.3   0.1          0 1013.2   0.1    1.0  1  uvig_472708_24   
          0 1013.2   0.1          0 1013.0   0.1    1.0  1  uvig_297333_44   
