# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/Genbank.fasta
# output directed to file:         output/Genbank_hmmout.txt
# per-seq hits tabular output:     output/Genbank_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence   Description
    ------- ------ -----    ------- ------ -----   ---- --  --------   -----------
          0 1030.3   0.0          0 1030.1   0.0    1.0  1  AKA61565.1  
          0 1030.3   0.0          0 1030.1   0.0    1.0  1  AKA61642.1  
          0 1026.3   0.0          0 1026.1   0.0    1.0  1  AFQ97035.1  
          0 1025.1   0.0          0 1025.0   0.0    1.0  1  AKA62124.1  
          0 1024.9   0.0          0 1024.7   0.0    1.0  1  ACD75668.1  
          0 1024.1   0.0          0 1024.0   0.0    1.0  1  AIM40350.1  
          0 1022.5   0.0          0 1022.4   0.0    1.0  1  ACF32352.1  
          0 1022.5   0.0          0 1022.4   0.0    1.0  1  ACY75835.1  
          0 1014.4   0.2          0 1014.3   0.2    1.0  1  ACF15837.1  
          0 1014.1   0.0          0 1014.0   0.0    1.0  1  ACF15888.1  
          0 1013.3   0.0          0 1013.1   0.0    1.0  1  AFK13398.1  
          0 1013.3   0.0          0 1013.1   0.0    1.0  1  AGB07325.1  
          0 1013.3   0.0          0 1013.1   0.0    1.0  1  AGC35464.1  
   4.9e-303 1011.5   0.1   5.5e-303 1011.4   0.1    1.0  1  AEH41021.1  
   5.1e-303 1011.5   0.0   5.7e-303 1011.3   0.0    1.0  1  AIM41063.1  
   8.7e-303 1010.7   0.0   9.7e-303 1010.6   0.0    1.0  1  QJT70354.1  
     1e-302 1010.5   0.1   1.1e-302 1010.3   0.1    1.0  1  ACY66666.1  
   2.2e-296  989.5   0.0   2.7e-296  989.2   0.0    1.0  1  AFV51444.1  
   1.2e-285  954.0   0.0   1.3e-285  953.9   0.0    1.0  1  AGY36902.1  
   1.2e-285  953.9   0.0   1.4e-285  953.8   0.0    1.0  1  ACV32460.1  
   1.4e-285  953.7   0.0   1.6e-285  953.6   0.0    1.0  1  ACF15731.1  
   4.6e-285  952.0   0.0   5.2e-285  951.9   0.0    1.0  1  AJF40472.1  
   1.5e-284  950.4   0.1   1.6e-284  950.2   0.1    1.0  1  AJF40494.1  
   7.3e-284  948.1   0.0   8.1e-284  947.9   0.0    1.0  1  ACF15684.1  
   7.3e-284  948.1   0.0   8.1e-284  947.9   0.0    1.0  1  AFK13447.1  
   2.3e-283  946.4   0.0   2.6e-283  946.3   0.0    1.0  1  ADQ83157.1  
   8.6e-280  934.6   0.1     1e-279  934.4   0.1    1.0  1  ACY74627.1  
   5.8e-275  918.6   0.0     7e-275  918.3   0.0    1.0  1  AEJ81474.1  
   1.7e-268  897.2   0.1   1.9e-268  897.0   0.1    1.0  1  ADX87591.1  
     2e-268  897.0   0.1   2.2e-268  896.8   0.1    1.0  1  ADX87446.1  
     2e-268  897.0   0.1   2.2e-268  896.8   0.1    1.0  1  ACR16468.1  
   2.1e-268  896.9   0.2   2.3e-268  896.8   0.2    1.0  1  ADX87639.1  
   9.3e-268  894.8   0.2     1e-267  894.6   0.2    1.0  1  AAY46276.1  
   1.1e-267  894.6   0.2   1.2e-267  894.4   0.2    1.0  1  AFH14406.1  
   4.1e-267  892.6   0.1   4.6e-267  892.5   0.1    1.0  1  ADX87497.1  
   2.6e-258  863.5   0.2   2.9e-258  863.3   0.2    1.0  1  AAR90000.1  
   1.2e-256  858.0   0.0   1.4e-256  857.7   0.0    1.0  1  AAZ72968.1  
   1.9e-256  857.3   0.0   2.3e-256  857.0   0.0    1.0  1  AIB06962.1  
   2.2e-256  857.1   0.3   2.4e-256  857.0   0.3    1.0  1  ADW95214.1  
   1.6e-255  854.2   0.0     2e-255  853.9   0.0    1.0  1  QJT70268.1  
   3.4e-255  853.2   0.0   4.2e-255  852.9   0.0    1.0  1  ACF15785.1  
   3.4e-247  826.7   0.0   4.2e-247  826.4   0.0    1.0  1  AAO73140.1  
   1.4e-243  814.8   0.0   1.7e-243  814.5   0.0    1.0  1  AIX12970.1  
   3.5e-243  813.4   0.0   4.3e-243  813.1   0.0    1.0  1  AFO12299.1  
   2.6e-242  810.6   0.0   3.1e-242  810.3   0.0    1.0  1  ADV35666.1  
   2.7e-242  810.5   0.0   3.1e-242  810.3   0.0    1.0  1  ABW23108.1  
   2.7e-242  810.5   0.0   3.1e-242  810.3   0.0    1.0  1  AFB83282.1  
   3.1e-239  800.4   0.0   3.4e-239  800.2   0.0    1.0  1  AAL86891.1  
   1.3e-238  798.2   0.0   1.5e-238  798.1   0.0    1.0  1  AFH19836.1  
   8.5e-236  789.0   0.0   9.5e-236  788.8   0.0    1.0  1  ABP87922.1  
