target,accession--target,query,accession--query,E-value,score,bias,E-value--best-domain,score--best-domain,bias--best-domain,exp,reg,clu,ov,env,dom,rep,inc,description
Station65_DCM_ALL_assembly_NODE_452_length_37411_cov_15.106462_26,-,phage-family-interpro-v4,-,1.3e-232,783.0,0.5,1.6e-232,782.7,0.5,1.0,1,0,0,1,1,1,1,-
Station65_SUR_ALL_assembly_NODE_489_length_31968_cov_16.995362_25,-,phage-family-interpro-v4,-,1.7e-232,782.6,0.4,2.1e-232,782.3,0.4,1.0,1,0,0,1,1,1,1,-
Station102_DCM_ALL_assembly_NODE_294_length_40123_cov_5.155586_30,-,phage-family-interpro-v4,-,1e-228,770.1,0.9,1.1e-228,769.9,0.9,1.0,1,0,0,1,1,1,1,-
Station188_DCM_ALL_assembly_NODE_1686_length_30940_cov_3.365161_31,-,phage-family-interpro-v4,-,6.2e-225,757.6,0.0,6.9e-225,757.4,0.0,1.0,1,0,0,1,1,1,1,-
Station72_DCM_ALL_assembly_NODE_235_length_39072_cov_9.465899_27,-,phage-family-interpro-v4,-,9.4e-225,757.0,2.1,1e-224,756.8,2.1,1.0,1,0,0,1,1,1,1,-
Station64_MES_COMBINED_FINAL_NODE_5070_length_12820_cov_18.960752_5,-,phage-family-interpro-v4,-,3.1e-223,752.0,0.0,3.7e-223,751.7,0.0,1.0,1,0,0,1,1,1,1,-
Station111_MES_COMBINED_FINAL_NODE_887_length_37870_cov_6.511014_8,-,phage-family-interpro-v4,-,3.1e-223,751.9,0.0,3.8e-223,751.7,0.0,1.0,1,0,0,1,1,1,1,-
Station111_MES_DO_NOT_POOL_NODE_934_length_38395_cov_8.137376_13,-,phage-family-interpro-v4,-,4e-223,751.6,0.0,4.9e-223,751.3,0.0,1.0,1,0,0,1,1,1,1,-
Station46_SUR_ALL_assembly_NODE_622_length_23641_cov_5.550793_2,-,phage-family-interpro-v4,-,8e-223,750.6,0.0,9e-223,750.4,0.0,1.0,1,0,0,1,1,1,1,-
Station102_DCM_ALL_assembly_NODE_1084_length_19359_cov_8.389919_23,-,phage-family-interpro-v4,-,1.4e-222,749.8,0.0,1.7e-222,749.5,0.0,1.0,1,0,0,1,1,1,1,-
Station208_SUR_ALL_assembly_NODE_1195_length_29615_cov_19.617456_26,-,phage-family-interpro-v4,-,2.7e-222,748.9,1.7,3e-222,748.7,1.7,1.0,1,0,0,1,1,1,1,-
Station205_MES_ALL_assembly_NODE_862_length_37859_cov_6.341578_25,-,phage-family-interpro-v4,-,3.3e-222,748.5,3.9,4.1e-222,748.2,3.9,1.0,1,0,0,1,1,1,1,-
Station102_SUR_SMARTER_KIT_NODE_48_length_37510_cov_14.085836_6,-,phage-family-interpro-v4,-,9.9e-222,747.0,0.0,1.1e-221,746.8,0.0,1.0,1,0,0,1,1,1,1,-
