#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AKA61565.1           -          phage-family-interpro-v4 -                  0 1030.3   0.0         0 1030.1   0.0   1.0   1   0   0   1   1   1   1 -
AKA61642.1           -          phage-family-interpro-v4 -                  0 1030.3   0.0         0 1030.1   0.0   1.0   1   0   0   1   1   1   1 -
AFQ97035.1           -          phage-family-interpro-v4 -                  0 1026.3   0.0         0 1026.1   0.0   1.0   1   0   0   1   1   1   1 -
AKA62124.1           -          phage-family-interpro-v4 -                  0 1025.1   0.0         0 1025.0   0.0   1.0   1   0   0   1   1   1   1 -
ACD75668.1           -          phage-family-interpro-v4 -                  0 1024.9   0.0         0 1024.7   0.0   1.0   1   0   0   1   1   1   1 -
AIM40350.1           -          phage-family-interpro-v4 -                  0 1024.1   0.0         0 1024.0   0.0   1.0   1   0   0   1   1   1   1 -
ACF32352.1           -          phage-family-interpro-v4 -                  0 1022.5   0.0         0 1022.4   0.0   1.0   1   0   0   1   1   1   1 -
ACY75835.1           -          phage-family-interpro-v4 -                  0 1022.5   0.0         0 1022.4   0.0   1.0   1   0   0   1   1   1   1 -
ACF15837.1           -          phage-family-interpro-v4 -                  0 1014.4   0.2         0 1014.3   0.2   1.0   1   0   0   1   1   1   1 -
ACF15888.1           -          phage-family-interpro-v4 -                  0 1014.1   0.0         0 1014.0   0.0   1.0   1   0   0   1   1   1   1 -
AFK13398.1           -          phage-family-interpro-v4 -                  0 1013.3   0.0         0 1013.1   0.0   1.0   1   0   0   1   1   1   1 -
AGB07325.1           -          phage-family-interpro-v4 -                  0 1013.3   0.0         0 1013.1   0.0   1.0   1   0   0   1   1   1   1 -
AGC35464.1           -          phage-family-interpro-v4 -                  0 1013.3   0.0         0 1013.1   0.0   1.0   1   0   0   1   1   1   1 -
AEH41021.1           -          phage-family-interpro-v4 -           4.9e-303 1011.5   0.1  5.5e-303 1011.4   0.1   1.0   1   0   0   1   1   1   1 -
AIM41063.1           -          phage-family-interpro-v4 -           5.1e-303 1011.5   0.0  5.7e-303 1011.3   0.0   1.0   1   0   0   1   1   1   1 -
QJT70354.1           -          phage-family-interpro-v4 -           8.7e-303 1010.7   0.0  9.7e-303 1010.6   0.0   1.0   1   0   0   1   1   1   1 -
ACY66666.1           -          phage-family-interpro-v4 -             1e-302 1010.5   0.1  1.1e-302 1010.3   0.1   1.0   1   0   0   1   1   1   1 -
AFV51444.1           -          phage-family-interpro-v4 -           2.2e-296  989.5   0.0  2.7e-296  989.2   0.0   1.0   1   0   0   1   1   1   1 -
AGY36902.1           -          phage-family-interpro-v4 -           1.2e-285  954.0   0.0  1.3e-285  953.9   0.0   1.0   1   0   0   1   1   1   1 -
ACV32460.1           -          phage-family-interpro-v4 -           1.2e-285  953.9   0.0  1.4e-285  953.8   0.0   1.0   1   0   0   1   1   1   1 -
ACF15731.1           -          phage-family-interpro-v4 -           1.4e-285  953.7   0.0  1.6e-285  953.6   0.0   1.0   1   0   0   1   1   1   1 -
AJF40472.1           -          phage-family-interpro-v4 -           4.6e-285  952.0   0.0  5.2e-285  951.9   0.0   1.0   1   0   0   1   1   1   1 -
