target,accession--target,query,accession--query,E-value,score,bias,E-value--best-domain,score--best-domain,bias--best-domain,exp,reg,clu,ov,env,dom,rep,inc,description
CAC86264.1,-,phage-family-interpro-v4,-,0,1026.3,0.0,0,1026.1,0.0,1.0,1,0,0,1,1,1,1,-
CAB63592.1,-,phage-family-interpro-v4,-,0,1023.4,0.0,0,1023.3,0.0,1.0,1,0,0,1,1,1,1,-
CAA24390.1,-,phage-family-interpro-v4,-,0,1022.5,0.0,0,1022.4,0.0,1.0,1,0,0,1,1,1,1,-
CBV65202.1,-,phage-family-interpro-v4,-,4.1e-296,984.3,0.0,4.6e-296,984.2,0.0,1.0,1,0,0,1,1,1,1,-
CAJ70654.1,-,phage-family-interpro-v4,-,1.2e-284,946.4,0.0,1.3e-284,946.3,0.0,1.0,1,0,0,1,1,1,1,-
CDM21533.1,-,phage-family-interpro-v4,-,8.1e-260,864.2,0.0,1e-259,863.9,0.0,1.0,1,0,0,1,1,1,1,-
CDM21594.1,-,phage-family-interpro-v4,-,1.8e-259,863.1,0.0,2.2e-259,862.8,0.0,1.0,1,0,0,1,1,1,1,-
CAJ29347.1,-,phage-family-interpro-v4,-,5.9e-258,858.0,0.0,7.3e-258,857.7,0.0,1.0,1,0,0,1,1,1,1,-
CDM12529.1,-,phage-family-interpro-v4,-,4.7e-256,851.7,0.0,5.8e-256,851.4,0.0,1.0,1,0,0,1,1,1,1,-
CBZ41982.1,-,phage-family-interpro-v4,-,3.5e-250,832.3,0.0,4.2e-250,832.0,0.0,1.0,1,0,0,1,1,1,1,-
CAD44217.1,-,phage-family-interpro-v4,-,1.4e-243,810.5,0.0,1.6e-243,810.3,0.0,1.0,1,0,0,1,1,1,1,-
CEF89292.1,-,phage-family-interpro-v4,-,3.1e-242,806.0,0.0,3.5e-242,805.8,0.0,1.0,1,0,0,1,1,1,1,-
CAX63147.1,-,phage-family-interpro-v4,-,3.8e-240,799.1,0.0,4.3e-240,798.9,0.0,1.0,1,0,0,1,1,1,1,-
CAJ29407.1,-,phage-family-interpro-v4,-,2e-239,796.7,0.1,2.3e-239,796.5,0.1,1.0,1,0,0,1,1,1,1,-
CAK25962.1,-,phage-family-interpro-v4,-,5.2e-238,792.0,0.0,5.8e-238,791.9,0.0,1.0,1,0,0,1,1,1,1,-
CAP45499.1,-,phage-family-interpro-v4,-,1.7e-236,787.0,0.0,1.9e-236,786.8,0.0,1.0,1,0,0,1,1,1,1,-
CEF89905.1,-,phage-family-interpro-v4,-,2.2e-236,786.6,0.0,2.5e-236,786.5,0.0,1.0,1,0,0,1,1,1,1,-
CDL65264.1,-,phage-family-interpro-v4,-,8.4e-210,698.6,0.0,1e-209,698.4,0.0,1.0,1,0,0,1,1,1,1,-
CBX44468.1,-,phage-family-interpro-v4,-,7.5e-208,692.2,0.0,8.4e-208,692.0,0.0,1.0,1,0,0,1,1,1,1,-
CBX45071.1,-,phage-family-interpro-v4,-,7.5e-208,692.2,0.0,8.4e-208,692.0,0.0,1.0,1,0,0,1,1,1,1,-
CDK30098.1,-,phage-family-interpro-v4,-,9.7e-207,688.5,0.0,1.1e-206,688.3,0.0,1.0,1,0,0,1,1,1,1,-
CDL65224.1,-,phage-family-interpro-v4,-,9.7e-207,688.5,0.0,1.1e-206,688.3,0.0,1.0,1,0,0,1,1,1,1,-
CDL65184.1,-,phage-family-interpro-v4,-,2.1e-206,687.4,0.0,2.4e-206,687.2,0.0,1.0,1,0,0,1,1,1,1,-
CBW54794.1,-,phage-family-interpro-v4,-,7.4e-201,669.0,0.0,8.8e-201,668.8,0.0,1.0,1,0,0,1,1,1,1,-
CBH51594.1,-,phage-family-interpro-v4,-,4.4e-172,573.8,0.0,4.9e-172,573.6,0.0,1.0,1,0,0,1,1,1,1,-
CCI88411.2,-,phage-family-interpro-v4,-,8e-167,556.4,0.0,8.9e-167,556.2,0.0,1.0,1,0,0,1,1,1,1,-
CAK25005.1,-,phage-family-interpro-v4,-,3.7e-165,550.9,0.0,4.1e-165,550.7,0.0,1.0,1,0,0,1,1,1,1,-
CCI88873.2,-,phage-family-interpro-v4,-,2.3e-163,544.9,0.0,2.7e-163,544.7,0.0,1.0,1,0,0,1,1,1,1,-
CBY88564.1,-,phage-family-interpro-v4,-,4.8e-145,484.3,0.0,5.4e-145,484.1,0.0,1.0,1,0,0,1,1,1,1,-
CAZ66163.1,-,phage-family-interpro-v4,-,2.9e-35,120.9,6.6,1.4e-27,95.5,0.1,3.0,2,1,1,3,3,3,2,-
CAZ66279.1,-,phage-family-interpro-v4,-,1.6e-30,105.2,3.9,3.4e-24,84.2,0.0,2.9,3,0,0,3,3,3,2,-
CDN96835.1,-,phage-family-interpro-v4,-,1.7e-30,105.1,3.3,5.5e-24,83.6,0.0,2.9,3,0,0,3,3,3,2,-
CDN96831.1,-,phage-family-interpro-v4,-,2.2e-08,31.9,1.1,1.7e-06,25.6,1.1,2.1,1,1,0,1,1,1,1,-
CAZ66275.1,-,phage-family-interpro-v4,-,3.5e-08,31.2,1.1,2e-06,25.4,1.1,2.1,1,1,0,1,1,1,1,-
CAZ66161.1,-,phage-family-interpro-v4,-,2.7e-05,21.7,0.6,0.00011,19.7,0.6,1.9,1,1,0,1,1,1,1,-
